Year,TimeOfDay,District,Community_Area,Incident_Type,CrimeCount
2023,Night,9,34,NON-Domestic,61
2023,Evening,19,5,Domestic,22
2023,Afternoon,22,71,NON-Domestic,62
2023,Night,6,49,NON-Domestic,47
2023,Night,4,45,NON-Domestic,62
2023,Night,4,43,NON-Domestic,151
2023,Evening,1,32,NON-Domestic,731
2023,Evening,24,77,NON-Domestic,102
2023,Morning,11,23,NON-Domestic,337
2023,Evening,19,6,Domestic,38
2023,Afternoon,16,15,NON-Domestic,235
2023,Afternoon,2,39,NON-Domestic,155
2023,Morning,18,8,NON-Domestic,622
2023,Morning,8,70,NON-Domestic,144
2023,Morning,8,66,NON-Domestic,323
2023,Night,8,65,NON-Domestic,100
2023,Morning,19,6,NON-Domestic,396
2023,Evening,4,51,NON-Domestic,170
2023,Evening,4,46,NON-Domestic,280
2023,Morning,22,74,NON-Domestic,32
2023,Afternoon,9,60,Domestic,28
2023,Afternoon,6,69,NON-Domestic,174
2023,Evening,25,20,NON-Domestic,132
2023,Evening,11,25,NON-Domestic,65
2023,Night,17,16,NON-Domestic,140
2023,Morning,18,8,Domestic,73
2023,Afternoon,1,33,NON-Domestic,257
2023,Evening,16,17,NON-Domestic,137
2023,Evening,6,71,NON-Domestic,394
2023,Evening,11,23,NON-Domestic,330
2023,Morning,16,76,NON-Domestic,146
2023,Evening,8,58,Domestic,6
2023,Afternoon,6,71,NON-Domestic,443
2023,Evening,8,57,NON-Domestic,85
2023,Night,7,67,Domestic,92
2023,Afternoon,1,32,Domestic,23
2023,Afternoon,9,61,NON-Domestic,338
2023,Morning,1,28,NON-Domestic,126
2023,Afternoon,24,2,NON-Domestic,322
2023,Afternoon,8,57,NON-Domestic,116
2023,Afternoon,24,1,NON-Domestic,502
2023,Morning,12,24,Domestic,26
2023,Morning,5,53,NON-Domestic,184
2023,Afternoon,17,16,NON-Domestic,263
2023,Morning,25,25,NON-Domestic,199
2023,Night,22,73,Domestic,54
2023,Night,8,63,NON-Domestic,114
2023,Morning,11,26,Domestic,65
2023,Afternoon,4,45,Domestic,23
2023,Afternoon,4,46,NON-Domestic,355
2023,Evening,7,69,NON-Domestic,84
2023,Night,2,37,NON-Domestic,12
2023,Afternoon,5,53,NON-Domestic,253
2023,Evening,1,32,Domestic,33
2023,Evening,11,27,NON-Domestic,256
2023,Morning,25,22,NON-Domestic,47
2023,Morning,20,4,NON-Domestic,122
2023,Night,4,46,Domestic,73
2023,Afternoon,18,7,NON-Domestic,245
2023,Morning,4,46,Domestic,68
2023,Evening,9,61,Domestic,96
2023,Afternoon,12,31,NON-Domestic,207
2023,Evening,7,68,NON-Domestic,317
2023,Evening,12,28,NON-Domestic,722
2023,Night,25,22,NON-Domestic,49
2023,Evening,25,19,NON-Domestic,402
2023,Night,18,8,NON-Domestic,782
2023,Morning,4,51,Domestic,32
2023,Night,11,27,Domestic,60
2023,Morning,2,36,Domestic,14
2023,Evening,2,40,NON-Domestic,155
2023,Morning,8,56,NON-Domestic,149
2023,Afternoon,10,29,NON-Domestic,430
2023,Morning,3,69,Domestic,85
2023,Night,17,16,Domestic,39
2023,Evening,9,58,NON-Domestic,140
2023,Evening,1,34,NON-Domestic,1
2023,Night,6,44,Domestic,109
2023,Night,9,61,NON-Domestic,255
2023,Night,24,1,NON-Domestic,204
2023,Evening,24,1,Domestic,72
2023,Evening,8,66,NON-Domestic,450
2023,Evening,19,5,NON-Domestic,127
2023,Afternoon,4,45,NON-Domestic,107
2023,Morning,16,15,NON-Domestic,137
2023,Night,4,48,NON-Domestic,117
2023,Afternoon,4,51,Domestic,45
2023,Morning,1,32,NON-Domestic,577
2023,Evening,4,46,Domestic,87
2023,Afternoon,12,27,NON-Domestic,63
2023,Afternoon,20,4,NON-Domestic,164
2023,Evening,11,29,Domestic,30
2023,Night,4,51,NON-Domestic,102
2023,Morning,4,51,NON-Domestic,107
2023,Night,22,73,NON-Domestic,155
2023,Afternoon,8,63,NON-Domestic,146
2023,Morning,12,24,NON-Domestic,254
2023,Evening,24,2,NON-Domestic,338
2023,Afternoon,7,67,NON-Domestic,368
2023,Evening,11,23,Domestic,70
2023,Morning,7,67,Domestic,80
2023,Night,15,25,NON-Domestic,369
2023,Afternoon,9,61,Domestic,88
2023,Morning,7,68,NON-Domestic,240
2023,Morning,16,15,Domestic,47
2023,Evening,3,42,NON-Domestic,264
2023,Afternoon,11,26,NON-Domestic,311
2023,Evening,2,35,NON-Domestic,141
2023,Morning,22,75,NON-Domestic,113
2023,Night,19,3,NON-Domestic,148
2023,Night,19,6,NON-Domestic,519
2023,Evening,6,69,NON-Domestic,157
2023,Morning,2,40,NON-Domestic,106
2023,Night,10,30,NON-Domestic,286
2023,Night,14,22,NON-Domestic,294
2023,Afternoon,4,55,NON-Domestic,79
2023,Morning,25,21,NON-Domestic,41
2023,Morning,3,43,Domestic,99
2023,Evening,16,12,Domestic,7
2023,Evening,20,77,Domestic,25
2023,Afternoon,1,33,Domestic,26
2023,Evening,17,21,NON-Domestic,109
2023,Afternoon,16,17,NON-Domestic,149
2023,Evening,8,56,NON-Domestic,176
2023,Morning,4,52,Domestic,20
2023,Evening,18,8,NON-Domestic,840
2023,Night,4,55,NON-Domestic,36
2023,Evening,11,27,Domestic,94
2023,Afternoon,1,35,NON-Domestic,98
2023,Night,17,15,NON-Domestic,21
2023,Morning,4,43,Domestic,52
2023,Afternoon,14,22,Domestic,51
2023,Night,19,5,NON-Domestic,102
2023,Afternoon,22,72,NON-Domestic,94
2023,Evening,9,63,Domestic,25
2023,Morning,17,16,Domestic,41
2023,Afternoon,17,16,Domestic,40
2023,Evening,24,1,NON-Domestic,403
2023,Night,5,54,Domestic,27
2023,Evening,6,71,Domestic,151
2023,Night,1,33,NON-Domestic,150
2023,Afternoon,11,29,NON-Domestic,105
2023,Night,11,23,Domestic,81
2023,Night,1,32,NON-Domestic,377
2023,Night,12,24,NON-Domestic,271
2023,Morning,18,7,NON-Domestic,131
2023,Night,14,21,NON-Domestic,40
2023,Night,17,13,NON-Domestic,49
2023,Night,8,70,NON-Domestic,145
2023,Evening,5,49,NON-Domestic,326
2023,Evening,18,7,NON-Domestic,182
2023,Morning,17,14,NON-Domestic,167
2023,Afternoon,8,56,NON-Domestic,172
2023,Afternoon,4,55,Domestic,17
2023,Night,3,43,Domestic,92
2023,Afternoon,9,37,NON-Domestic,46
2023,Morning,17,16,NON-Domestic,173
2023,Evening,8,66,Domestic,119
2023,Morning,24,77,Domestic,6
2023,Afternoon,16,10,NON-Domestic,132
2023,Evening,8,62,NON-Domestic,90
2023,Night,12,27,Domestic,10
2023,Evening,6,44,NON-Domestic,440
2023,Night,2,41,Domestic,14
2023,Evening,5,53,NON-Domestic,254
2023,Afternoon,4,47,Domestic,7
2023,Evening,12,27,NON-Domestic,42
2023,Evening,3,40,NON-Domestic,39
2023,Evening,12,24,NON-Domestic,419
2023,Afternoon,3,43,NON-Domestic,420
2023,Morning,17,13,Domestic,11
2023,Morning,6,71,Domestic,124
2023,Afternoon,15,25,Domestic,168
2023,Afternoon,5,49,Domestic,104
2023,Afternoon,18,8,Domestic,60
2023,Morning,3,69,NON-Domestic,176
2023,Afternoon,4,46,Domestic,89
2023,Night,14,24,Domestic,25
2023,Afternoon,5,51,NON-Domestic,17
2023,Afternoon,2,41,NON-Domestic,267
2023,Morning,22,71,NON-Domestic,33
2023,Afternoon,17,15,NON-Domestic,46
2023,Morning,5,50,NON-Domestic,78
2023,Evening,2,40,Domestic,44
2023,Afternoon,4,43,Domestic,69
2023,Afternoon,20,77,NON-Domestic,233
2023,Afternoon,2,36,NON-Domestic,56
2023,Morning,4,45,NON-Domestic,90
2023,Night,3,68,NON-Domestic,4
2023,Morning,8,70,Domestic,35
2023,Morning,16,17,NON-Domestic,108
2023,Night,2,39,Domestic,29
2023,Evening,6,44,Domestic,115
2023,Evening,2,41,NON-Domestic,168
2023,Evening,9,37,NON-Domestic,42
2023,Afternoon,12,31,Domestic,26
2023,Morning,24,77,NON-Domestic,79
2023,Morning,11,23,Domestic,47
2023,Morning,20,2,NON-Domestic,34
2013,Night,4,46,NON-Domestic,5
2023,Evening,2,38,Domestic,79
2022,Morning,1,32,NON-Domestic,23
2023,Afternoon,17,13,NON-Domestic,84
2023,Afternoon,19,7,NON-Domestic,225
2023,Evening,25,22,NON-Domestic,68
2023,Morning,4,52,NON-Domestic,77
2023,Afternoon,2,37,NON-Domestic,16
2023,Evening,16,12,NON-Domestic,26
2023,Morning,19,3,Domestic,22
2023,Night,18,7,Domestic,10
2023,Evening,22,73,NON-Domestic,198
2023,Night,2,38,NON-Domestic,163
2023,Night,5,49,NON-Domestic,215
2023,Afternoon,11,25,NON-Domestic,72
2023,Evening,8,62,Domestic,17
2023,Morning,24,2,NON-Domestic,177
2023,Afternoon,2,68,Domestic,2
2023,Night,8,70,Domestic,41
2023,Afternoon,22,72,Domestic,16
2023,Morning,2,38,NON-Domestic,201
2023,Morning,3,42,Domestic,69
2023,Afternoon,2,38,Domestic,89
2023,Morning,11,26,NON-Domestic,229
2023,Evening,12,31,NON-Domestic,190
2023,Morning,4,48,NON-Domestic,92
2023,Evening,10,30,NON-Domestic,367
2023,Evening,4,45,NON-Domestic,90
2023,Morning,6,69,Domestic,46
2023,Evening,1,28,NON-Domestic,165
2023,Night,2,41,NON-Domestic,112
2021,Night,9,60,NON-Domestic,5
2023,Night,4,52,NON-Domestic,105
2023,Afternoon,6,71,Domestic,133
2023,Afternoon,25,23,NON-Domestic,149
2023,Night,25,18,NON-Domestic,45
2023,Morning,9,63,NON-Domestic,64
2023,Night,9,58,NON-Domestic,123
2023,Afternoon,22,75,NON-Domestic,174
2023,Morning,11,25,NON-Domestic,42
2023,Evening,9,60,NON-Domestic,159
2023,Night,5,54,NON-Domestic,45
2023,Afternoon,10,30,NON-Domestic,372
2023,Morning,19,7,NON-Domestic,127
2023,Evening,6,69,Domestic,53
2023,Morning,3,43,NON-Domestic,273
2023,Night,3,69,Domestic,73
2023,Morning,7,69,NON-Domestic,50
2023,Afternoon,20,2,NON-Domestic,49
2023,Evening,16,10,Domestic,25
2023,Morning,9,61,Domestic,64
2023,Night,12,28,NON-Domestic,479
2023,Afternoon,25,21,NON-Domestic,54
2023,Morning,5,49,NON-Domestic,243
2023,Evening,6,49,NON-Domestic,63
2023,Morning,17,15,NON-Domestic,27
2023,Evening,5,54,NON-Domestic,72
2023,Afternoon,2,35,NON-Domestic,225
2023,Evening,5,50,Domestic,24
2023,Morning,25,18,NON-Domestic,35
2023,Night,19,3,Domestic,20
2023,Morning,6,49,NON-Domestic,49
2023,Night,2,39,NON-Domestic,85
2023,Evening,10,29,Domestic,157
2023,Evening,22,72,NON-Domestic,57
2023,Morning,15,25,NON-Domestic,435
2023,Afternoon,25,20,NON-Domestic,125
2019,Morning,19,4,NON-Domestic,1
2019,Night,24,77,NON-Domestic,1
2019,Evening,6,69,Domestic,1
2018,Morning,1,32,NON-Domestic,6
2022,Morning,12,24,Domestic,2
2022,Night,24,1,Domestic,3
2022,Evening,18,8,Domestic,8
2021,Night,7,68,NON-Domestic,14
2022,Evening,19,3,Domestic,7
2022,Night,6,71,NON-Domestic,21
2022,Night,8,65,Domestic,3
2022,Morning,14,21,NON-Domestic,2
2022,Night,1,32,NON-Domestic,25
2022,Afternoon,11,23,NON-Domestic,22
2022,Afternoon,10,29,NON-Domestic,19
2022,Evening,8,66,NON-Domestic,15
2023,Morning,11,29,Domestic,21
2023,Night,3,43,NON-Domestic,254
2023,Night,17,14,Domestic,35
2023,Night,11,29,Domestic,15
2023,Evening,6,68,NON-Domestic,6
2023,Morning,9,60,NON-Domestic,77
2023,Evening,14,24,Domestic,27
2023,Night,5,50,Domestic,20
2023,Night,3,42,NON-Domestic,208
2023,Evening,10,29,NON-Domestic,330
2023,Morning,2,41,NON-Domestic,158
2023,Evening,4,43,NON-Domestic,221
2023,Evening,11,26,Domestic,98
2023,Night,8,57,NON-Domestic,54
2023,Evening,9,63,NON-Domestic,70
2023,Morning,6,69,NON-Domestic,133
2023,Morning,9,58,NON-Domestic,111
2023,Evening,19,3,Domestic,31
2023,Afternoon,4,43,NON-Domestic,239
2023,Night,4,46,NON-Domestic,193
2023,Evening,9,59,NON-Domestic,89
2023,Afternoon,22,73,NON-Domestic,232
2023,Morning,2,36,NON-Domestic,47
2023,Evening,22,73,Domestic,71
2023,Afternoon,24,77,NON-Domestic,114
2023,Afternoon,7,67,Domestic,105
2023,Evening,16,10,NON-Domestic,88
2023,Morning,6,71,NON-Domestic,299
2023,Night,18,7,NON-Domestic,137
2023,Evening,7,67,NON-Domestic,333
2023,Evening,25,25,Domestic,67
2023,Night,20,2,NON-Domestic,29
2023,Night,1,35,NON-Domestic,72
2023,Night,16,10,NON-Domestic,101
2023,Night,3,42,Domestic,66
2023,Night,3,69,NON-Domestic,165
2023,Evening,25,21,NON-Domestic,55
2023,Morning,5,50,Domestic,25
2022,Afternoon,10,30,NON-Domestic,24
2023,Night,8,58,NON-Domestic,22
2023,Morning,4,47,Domestic,7
2023,Morning,12,31,Domestic,24
2023,Afternoon,11,25,Domestic,10
2023,Evening,16,76,NON-Domestic,134
2019,Night,7,68,NON-Domestic,9
2023,Evening,25,23,NON-Domestic,120
2023,Evening,9,34,NON-Domestic,113
2023,Morning,1,33,NON-Domestic,155
2023,Morning,10,29,Domestic,107
2023,Morning,1,32,Domestic,24
2023,Evening,4,45,Domestic,24
2023,Morning,25,18,Domestic,15
2023,Morning,20,3,NON-Domestic,95
2023,Night,7,67,NON-Domestic,211
2023,Night,6,69,NON-Domestic,124
2023,Afternoon,4,48,NON-Domestic,156
2023,Night,24,77,NON-Domestic,64
2023,Morning,24,1,Domestic,49
2023,Morning,1,35,Domestic,14
2023,Morning,8,63,NON-Domestic,88
2023,Afternoon,5,50,Domestic,20
2023,Afternoon,7,69,Domestic,24
2022,Morning,12,28,NON-Domestic,20
2023,Night,11,23,NON-Domestic,178
2023,Night,14,23,NON-Domestic,33
2023,Afternoon,12,23,NON-Domestic,48
2017,Night,17,16,NON-Domestic,3
2023,Evening,25,23,Domestic,30
2023,Evening,22,71,NON-Domestic,57
2023,Afternoon,11,27,NON-Domestic,291
2023,Evening,19,7,NON-Domestic,150
2023,Evening,7,68,Domestic,116
2023,Morning,14,22,Domestic,23
2023,Morning,5,49,Domestic,80
2023,Morning,16,11,NON-Domestic,66
2023,Afternoon,16,76,Domestic,15
2023,Night,1,33,Domestic,32
2021,Night,14,21,NON-Domestic,3
2023,Afternoon,8,66,Domestic,96
2023,Afternoon,10,31,NON-Domestic,66
2023,Afternoon,8,64,Domestic,19
2023,Night,11,26,Domestic,63
2023,Evening,11,29,NON-Domestic,77
2023,Night,8,64,NON-Domestic,77
2023,Night,6,67,NON-Domestic,1
2023,Morning,10,31,NON-Domestic,47
2023,Night,25,23,NON-Domestic,101
2023,Evening,2,36,NON-Domestic,54
2023,Night,10,29,NON-Domestic,225
2023,Night,24,1,Domestic,46
2023,Night,11,27,NON-Domestic,158
2023,Morning,16,10,NON-Domestic,80
2023,Evening,20,2,NON-Domestic,40
2017,Afternoon,18,8,NON-Domestic,5
2023,Morning,6,49,Domestic,9
2023,Evening,10,30,Domestic,86
2023,Evening,9,59,Domestic,15
2023,Night,20,3,NON-Domestic,73
2023,Afternoon,8,62,NON-Domestic,72
2023,Afternoon,20,77,Domestic,27
2023,Night,17,21,NON-Domestic,37
2023,Afternoon,6,44,Domestic,106
2023,Afternoon,17,14,Domestic,46
2023,Morning,2,38,Domestic,52
2023,Afternoon,1,35,Domestic,18
2020,Night,5,49,Domestic,5
2023,Night,24,2,NON-Domestic,209
2023,Afternoon,6,49,NON-Domestic,81
2023,Morning,22,75,Domestic,32
2023,Afternoon,24,2,Domestic,61
2023,Night,5,53,Domestic,63
2023,Night,7,68,Domestic,80
2023,Morning,8,63,Domestic,22
2023,Evening,2,41,Domestic,20
2023,Afternoon,19,6,Domestic,29
2023,Evening,11,28,NON-Domestic,48
2023,Evening,9,58,Domestic,39
2023,Afternoon,16,12,Domestic,4
2023,Evening,18,8,Domestic,105
2023,Evening,22,74,Domestic,8
2023,Morning,8,62,Domestic,9
2023,Night,12,23,NON-Domestic,19
2023,Afternoon,11,26,Domestic,81
2023,Afternoon,11,27,Domestic,79
2023,Afternoon,5,53,Domestic,80
2023,Evening,17,13,Domestic,23
2023,Evening,14,23,NON-Domestic,85
2023,Morning,8,62,NON-Domestic,67
2023,Night,20,77,Domestic,21
2023,Morning,2,35,Domestic,25
2023,Evening,10,31,NON-Domestic,51
2023,Afternoon,3,43,Domestic,115
2023,Night,22,72,NON-Domestic,62
2023,Afternoon,17,13,Domestic,16
2023,Evening,14,22,Domestic,42
2023,Evening,9,37,Domestic,8
2023,Afternoon,16,76,NON-Domestic,204
2023,Night,2,40,NON-Domestic,74
2023,Night,4,43,Domestic,72
2023,Afternoon,25,22,NON-Domestic,67
2023,Evening,14,23,Domestic,11
2023,Morning,22,72,NON-Domestic,71
2023,Night,25,22,Domestic,13
2023,Morning,10,29,NON-Domestic,310
2023,Afternoon,25,23,Domestic,28
2017,Morning,4,43,NON-Domestic,1
2023,Morning,12,27,NON-Domestic,45
2007,Afternoon,2,41,NON-Domestic,2
2021,Morning,3,43,NON-Domestic,12
2023,Night,16,17,NON-Domestic,131
2022,Morning,14,24,NON-Domestic,11
2023,Morning,2,41,Domestic,23
2018,Afternoon,22,75,NON-Domestic,2
2022,Night,1,33,Domestic,2
2022,Afternoon,24,1,Domestic,4
2022,Night,12,28,Domestic,9
2022,Night,19,7,Domestic,1
2022,Morning,19,6,Domestic,4
2022,Night,16,11,Domestic,2
2015,Night,17,14,Domestic,2
2022,Afternoon,25,20,Domestic,2
2022,Morning,25,22,Domestic,1
2022,Afternoon,25,19,Domestic,3
2018,Night,8,66,Domestic,3
2017,Night,25,25,Domestic,4
2016,Afternoon,17,14,NON-Domestic,3
2022,Morning,10,30,Domestic,4
2023,Night,9,37,NON-Domestic,32
2023,Afternoon,3,42,Domestic,83
2022,Evening,2,40,NON-Domestic,4
2005,Evening,4,46,NON-Domestic,5
2005,Night,6,44,Domestic,4
2005,Evening,6,71,NON-Domestic,5
2005,Morning,5,53,NON-Domestic,5
2005,Morning,6,71,Domestic,2
2005,Afternoon,6,44,Domestic,2
2005,Night,4,46,NON-Domestic,4
2011,Night,3,42,NON-Domestic,9
2001,Night,8,66,Domestic,49
2014,Night,20,4,NON-Domestic,1
2023,Night,2,35,Domestic,21
2023,Morning,17,14,Domestic,20
2023,Night,9,60,NON-Domestic,94
2023,Afternoon,9,59,Domestic,11
2016,Night,7,69,NON-Domestic,2
2023,Afternoon,16,15,Domestic,54
2023,Night,4,47,Domestic,3
2023,Night,1,28,NON-Domestic,79
2023,Morning,5,54,NON-Domestic,51
2022,Night,24,2,NON-Domestic,17
2023,Night,11,25,Domestic,15
2018,Afternoon,12,28,NON-Domestic,7
2023,Afternoon,9,63,NON-Domestic,80
2023,Evening,4,51,Domestic,46
2023,Afternoon,16,11,Domestic,15
2023,Night,7,69,Domestic,24
2023,Evening,17,16,Domestic,52
2023,Night,4,48,Domestic,24
2023,Afternoon,11,28,NON-Domestic,48
2023,Evening,22,74,NON-Domestic,39
2023,Morning,3,68,Domestic,5
2023,Evening,18,7,Domestic,12
2023,Morning,10,31,Domestic,1
2023,Night,16,9,NON-Domestic,31
2021,Night,10,31,NON-Domestic,2
2023,Evening,16,17,Domestic,31
2023,Afternoon,11,23,Domestic,57
2023,Morning,5,53,Domestic,56
2023,Afternoon,16,12,NON-Domestic,36
2023,Morning,14,23,NON-Domestic,41
2023,Morning,4,55,NON-Domestic,31
2016,Night,8,63,Domestic,1
2023,Evening,3,42,Domestic,63
2021,Morning,12,31,NON-Domestic,5
2023,Afternoon,9,34,NON-Domestic,108
2023,Afternoon,25,18,NON-Domestic,61
2023,Morning,9,34,NON-Domestic,54
2023,Evening,12,31,Domestic,20
2020,Night,8,70,Domestic,3
2023,Morning,25,25,Domestic,54
2023,Night,2,35,NON-Domestic,80
2023,Evening,5,53,Domestic,102
2023,Evening,2,36,Domestic,34
2023,Evening,25,20,Domestic,34
2023,Night,7,69,NON-Domestic,65
2023,Morning,19,4,NON-Domestic,59
2023,Afternoon,9,58,NON-Domestic,141
2023,Afternoon,8,57,Domestic,15
2023,Morning,20,4,Domestic,12
2023,Night,12,27,NON-Domestic,24
2023,Afternoon,8,65,NON-Domestic,183
2023,Night,12,31,Domestic,30
2023,Night,22,49,NON-Domestic,34
2023,Afternoon,2,36,Domestic,21
2019,Night,11,23,NON-Domestic,9
2005,Morning,11,26,NON-Domestic,2
2023,Morning,8,64,NON-Domestic,53
2023,Evening,5,54,Domestic,38
2023,Morning,3,41,NON-Domestic,3
2023,Morning,7,69,Domestic,11
