Year,Month,TimeOfDay,District,Community_Area,CrimeCount
2001,1,Evening,2,38,89
2001,1,Evening,2,40,9
2001,1,Evening,2,41,1
2001,1,Evening,2,68,3
2001,1,Evening,3,-1,594
2001,1,Evening,3,40,1
2001,1,Evening,3,42,10
2001,1,Evening,3,43,16
2001,1,Evening,3,69,6
2001,1,Evening,4,-1,615
2001,1,Evening,4,43,7
2001,1,Evening,4,43.5,7
2001,1,Evening,4,43.93103448275862,3
2001,1,Evening,4,46,3
2001,1,Evening,4,51,1
2001,1,Evening,4,52,38
2001,1,Evening,4,55,3
2001,1,Evening,5,-1,412
2001,1,Evening,5,49,16
2001,1,Evening,5,53,38
2001,1,Evening,5,54,3
2001,1,Evening,6,-1,505
2001,1,Evening,6,44,15
2001,1,Evening,6,49,3
2001,1,Evening,6,69,1
2001,1,Evening,6,71,122
2001,1,Evening,7,-1,371
2001,1,Evening,7,67,105
2001,1,Evening,7,68,128
2001,1,Evening,8,-1,677
2001,1,Evening,8,57,8
2001,1,Evening,8,62,6
2001,1,Evening,8,63,12
2001,1,Evening,8,65,15
2001,1,Evening,8,66,34
2001,1,Evening,8,70,2
2001,1,Evening,9,-1,461
2001,1,Evening,9,34,4
2001,1,Evening,9,36.5,1
2001,1,Evening,9,37,8
2001,1,Evening,9,58,21
2001,1,Evening,9,58.11111111111112,1
2001,1,Evening,9,59,14
2001,1,Evening,9,60,39
2001,1,Evening,9,60.333333333333336,1
2001,1,Evening,9,60.46666666666667,2
2001,1,Evening,9,60.90476190476191,9
2001,1,Evening,9,61,84
2001,1,Evening,9,63,8
2001,1,Evening,9,64,6
2001,1,Evening,10,-1,476
2001,1,Evening,10,28,1
2001,1,Evening,10,29,25
2001,1,Evening,10,29.307692307692307,1
2001,1,Evening,10,29.33333333333333,1
2001,1,Evening,10,29.4,1
2001,1,Evening,10,30,25
2001,1,Evening,10,31,7
2001,1,Evening,11,-1,385
2001,1,Evening,11,23,28
2001,1,Evening,11,25,20
2001,1,Evening,11,26,80
2001,1,Evening,11,27,98
2001,1,Evening,11,28,27
2001,1,Evening,11,28.849056603773583,1
2001,1,Evening,11,29,40
2001,1,Evening,12,-1,322
2001,1,Evening,12,23,2
2001,1,Evening,12,24,93
2001,1,Evening,12,27,45
2001,1,Evening,12,28,180
2001,1,Evening,12,31,39
2001,1,Evening,14,-1,471
2001,1,Evening,14,21,8
2001,1,Evening,14,22,33
2001,1,Evening,14,23,8
2001,1,Evening,14,24,38
2001,1,Evening,15,-1,363
2001,1,Evening,15,25,212
2001,1,Evening,16,-1,285
2001,1,Evening,16,10,1
2001,1,Evening,16,11,6
2001,1,Evening,16,12,3
2001,1,Evening,16,13,1
2001,1,Evening,16,15,61
2001,1,Evening,16,17,28
2001,1,Evening,16,76,43
2001,1,Evening,17,-1,292
2001,1,Evening,17,13,10
2001,1,Evening,17,13.675,2
2001,1,Evening,17,14,21
2001,1,Evening,17,15,12
2001,1,Evening,17,16,46
2001,1,Evening,17,17.176470588235293,3
2001,1,Evening,17,17.923076923076923,1
2001,1,Evening,17,19.75,1
2001,1,Evening,17,20.33333333333333,5
2001,1,Evening,17,20.615384615384617,2
2001,1,Evening,17,20.73684210526316,1
2001,1,Evening,17,20.904761904761905,1
2001,1,Evening,17,21,8
2001,1,Evening,18,-1,183
2001,1,Evening,18,7,34
2001,1,Evening,18,8,313
2001,1,Evening,19,-1,349
2001,1,Evening,19,3,54
2001,1,Evening,19,4,3
2001,1,Evening,19,5,30
2001,1,Evening,19,5.333333333333333,1
2001,1,Evening,19,5.833333333333333,1
2001,1,Evening,19,6,95
2001,1,Evening,19,7,31
2001,1,Evening,20,-1,198
2001,1,Evening,20,2,2
2001,1,Evening,20,3,43
2001,1,Evening,20,4,13
2001,1,Evening,20,77,31
2001,1,Evening,22,-1,224
2001,1,Evening,22,49,1
2001,1,Evening,22,53,1
2001,1,Evening,22,59.70588235294117,3
2001,1,Evening,22,60.55555555555556,2
2001,1,Evening,22,60.81818181818182,1
2001,1,Evening,22,62,1
2001,1,Evening,22,62.6,3
2001,1,Evening,22,63.44444444444444,1
2001,1,Evening,22,71,16
2001,1,Evening,22,72,5
2001,1,Evening,22,73,49
2001,1,Evening,22,75,22
2001,1,Evening,24,-1,348
2001,1,Evening,24,1,64
2001,1,Evening,24,2,18
2001,1,Evening,24,77,21
2001,1,Evening,25,-1,690
2001,1,Evening,25,19,20
2001,1,Evening,25,20,17
2001,1,Evening,25,21,12
2001,1,Evening,25,22,9
2001,1,Evening,25,23,26
2001,1,Evening,25,25,19
2001,1,Morning,1,-1,83
2001,1,Morning,1,28,46
2001,1,Morning,1,32,182
2001,1,Morning,1,32.12,1
2001,1,Morning,1,33,8
2001,1,Morning,1,33.75,1
2001,1,Morning,2,-1,405
2001,1,Morning,2,33,24
2001,1,Morning,2,33.977777777777774,2
2001,1,Morning,2,34,3
2001,1,Morning,2,35,44
2001,1,Morning,2,36.66666666666666,2
2001,1,Morning,2,37,2
2001,1,Morning,2,37.59090909090909,3
2001,1,Morning,2,38,65
2001,1,Morning,2,39,2
2001,1,Morning,2,40,2
2001,1,Morning,2,41,2
2001,1,Morning,2,68,1
2001,1,Morning,3,-1,285
2001,1,Morning,3,41,1
2001,1,Morning,3,43,7
2001,1,Morning,3,59.333333333333336,1
2001,1,Morning,3,69,5
2001,1,Morning,4,-1,310
2001,1,Morning,4,43,2
2001,1,Morning,4,43.5,4
2001,1,Morning,4,43.93103448275862,1
2001,1,Morning,4,46,4
2001,1,Morning,4,52,20
2001,1,Morning,4,55,3
2001,1,Morning,5,-1,225
2001,1,Morning,5,49,8
2001,1,Morning,5,53,13
2001,1,Morning,5,54,1
2001,1,Morning,6,-1,326
2001,1,Morning,6,44,4
2001,1,Morning,6,49,3
2001,1,Morning,6,69,2
2001,1,Morning,6,71,70
2001,1,Morning,7,-1,229
2001,1,Morning,7,67,43
2001,1,Morning,7,68,70
2001,1,Morning,7,68.14285714285714,1
2001,1,Morning,8,-1,419
2001,1,Morning,8,57,3
2001,1,Morning,8,62,3
2001,1,Morning,8,63,6
2001,1,Morning,8,65,12
2001,1,Morning,8,65.83333333333333,1
2001,1,Morning,8,66,21
2001,1,Morning,8,66.875,1
2001,1,Morning,8,70,5
2001,1,Morning,9,-1,244
2001,1,Morning,9,34,6
2001,1,Morning,9,36.5,2
2001,1,Morning,9,37,2
2001,1,Morning,9,58,12
2001,1,Morning,9,59,10
2001,1,Morning,9,60,17
2001,1,Morning,9,61,49
2001,1,Morning,9,63,3
2001,1,Morning,10,-1,221
2001,1,Morning,10,29,13
2001,1,Morning,10,30,9
2001,1,Morning,10,31,9
2001,1,Morning,11,-1,205
2001,1,Morning,11,23,24
2001,1,Morning,11,25,10
2001,1,Morning,11,26,44
2001,1,Morning,11,27,54
2001,1,Morning,11,28,9
2001,1,Morning,11,29,18
2001,1,Morning,12,-1,189
2001,1,Morning,12,24,55
2001,1,Morning,12,27,9
2001,1,Morning,12,28,97
2001,1,Morning,12,31,23
2001,1,Morning,14,-1,254
2001,1,Morning,14,21,2
2001,1,Morning,14,22,21
2001,1,Morning,14,23,5
2001,1,Morning,14,23.666666666666668,1
2001,1,Morning,14,24,29
2001,1,Morning,15,-1,214
2001,1,Morning,15,25,90
2001,1,Morning,16,-1,137
2001,1,Morning,16,10,2
2001,1,Morning,16,11,2
2001,1,Morning,16,15,29
2001,1,Morning,16,17,13
2001,1,Morning,16,76,46
2001,1,Morning,17,-1,164
2001,1,Morning,17,13,4
2001,1,Morning,17,13.675,1
2001,1,Morning,17,14,10
2001,1,Morning,17,15,3
2001,1,Morning,17,16,26
2001,1,Morning,17,17.176470588235293,1
2001,1,Morning,17,17.923076923076923,1
2001,1,Morning,17,18.5,1
2001,1,Morning,17,19.75,1
2001,1,Morning,17,20,2
2001,1,Morning,17,20.33333333333333,1
2001,1,Morning,17,21,10
2001,1,Morning,18,-1,133
2001,1,Morning,18,7,28
2001,1,Morning,18,8,170
2001,1,Morning,19,-1,205
2001,1,Morning,19,3,34
2001,1,Morning,19,4,1
2001,1,Morning,19,4.2,1
2001,1,Morning,19,4.536585365853658,2
2001,1,Morning,19,5,15
2001,1,Morning,19,5.333333333333333,1
2001,1,Morning,19,6,44
2001,1,Morning,19,7,18
2001,1,Morning,20,-1,92
2001,1,Morning,20,3,16
2001,1,Morning,20,4,5
2001,1,Morning,20,77,19
2001,1,Morning,22,-1,163
2001,1,Morning,22,49,9
2001,1,Morning,22,53,1
2001,1,Morning,22,59.70588235294117,1
2001,1,Morning,22,60.55555555555556,1
2001,1,Morning,22,61,1
2001,1,Morning,22,62,1
2001,1,Morning,22,63.44444444444444,1
2001,1,Morning,22,66.33333333333333,1
2001,1,Morning,22,67,1
2001,1,Morning,22,71,12
2001,1,Morning,22,72,1
2001,1,Morning,22,73,48
2001,1,Morning,22,74,1
2001,1,Morning,22,75,9
2001,1,Morning,24,-1,170
2001,1,Morning,24,1,32
2001,1,Morning,24,2,6
2001,1,Morning,24,77,11
2001,1,Morning,25,-1,389
2001,1,Morning,25,19,13
2001,1,Morning,25,20,8
2001,1,Morning,25,21,3
2001,1,Morning,25,22,7
2001,1,Morning,25,23,18
2001,1,Morning,25,25,9
2001,1,Night,1,-1,33
2001,1,Night,1,28,21
2001,1,Night,1,32,56
2001,1,Night,1,32.12,1
2001,1,Night,1,33,4
2001,1,Night,2,-1,284
2001,1,Night,2,33,22
2001,1,Night,2,34,3
2001,1,Night,2,35,31
2001,1,Night,2,36,1
2001,1,Night,2,36.66666666666666,2
2001,1,Night,2,37,1
2001,1,Night,2,38,32
2001,1,Night,2,39,1
2001,1,Night,2,40,4
2001,1,Night,3,-1,267
2001,1,Night,3,42,2
2001,1,Night,3,43,7
2001,1,Night,3,69,2
2001,1,Night,4,-1,268
2001,1,Night,4,43,6
2001,1,Night,4,43.5,2
2001,1,Night,4,43.93103448275862,1
2001,1,Night,4,46,1
2001,1,Night,4,52,17
2001,1,Night,4,55,3
2001,1,Night,5,-1,190
2001,1,Night,5,49,13
2001,1,Night,5,53,21
2001,1,Night,5,54,2
2001,1,Night,6,-1,234
2001,1,Night,6,44,1
2001,1,Night,6,69,2
2001,1,Night,6,71,39
2001,1,Night,7,-1,180
2001,1,Night,7,67,38
2001,1,Night,7,68,56
2001,1,Night,8,-1,348
2001,1,Night,8,57,3
2001,1,Night,8,62,5
2001,1,Night,8,63,2
2001,1,Night,8,65,3
2001,1,Night,8,66,16
2001,1,Night,8,70,5
2001,1,Night,9,-1,183
2001,1,Night,9,34,2
2001,1,Night,9,36.5,1
2001,1,Night,9,37,3
2001,1,Night,9,58,9
2001,1,Night,9,58.11111111111112,1
2001,1,Night,9,59,3
2001,1,Night,9,60,12
2001,1,Night,9,60.46666666666667,1
2001,1,Night,9,61,49
2001,1,Night,9,63,4
2001,1,Night,9,64,1
2001,1,Night,10,-1,177
2001,1,Night,10,29,10
2001,1,Night,10,29.2,1
2001,1,Night,10,29.307692307692307,1
2001,1,Night,10,30,9
2001,1,Night,10,31,4
2001,1,Night,11,-1,164
2001,1,Night,11,23,15
2001,1,Night,11,24.5,1
2001,1,Night,11,25,3
2001,1,Night,11,26,41
2001,1,Night,11,27,41
2001,1,Night,11,28,8
2001,1,Night,11,29,8
2001,1,Night,12,-1,147
2001,1,Night,12,23,1
2001,1,Night,12,24,44
2001,1,Night,12,27,5
2001,1,Night,12,28,80
2001,1,Night,12,31,18
2001,1,Night,14,-1,282
2001,1,Night,14,21,4
2001,1,Night,14,22,23
2001,1,Night,14,23,5
2001,1,Night,14,23.666666666666668,1
2001,1,Night,14,24,27
2001,1,Night,15,-1,159
2001,1,Night,15,25,61
2001,1,Night,16,-1,125
2001,1,Night,16,11,2
2001,1,Night,16,15,23
2001,1,Night,16,17,8
2001,1,Night,16,76,24
2001,1,Night,17,-1,143
2001,1,Night,17,12,1
2001,1,Night,17,14,9
2001,1,Night,17,15,2
2001,1,Night,17,16,37
2001,1,Night,17,20,1
2001,1,Night,17,20.904761904761905,1
2001,1,Night,17,21,4
2001,1,Night,18,-1,109
2001,1,Night,18,7,22
2001,1,Night,18,8,194
2001,1,Night,19,-1,172
2001,1,Night,19,3,23
2001,1,Night,19,5,16
2001,1,Night,19,6,69
2001,1,Night,19,7,17
2001,1,Night,20,-1,71
2001,1,Night,20,3,24
2001,1,Night,20,4,7
2001,1,Night,20,77,13
2001,1,Night,22,-1,102
2001,1,Night,22,49,1
2001,1,Night,22,53,1
2001,1,Night,22,62,1
2001,1,Night,22,71,6
2001,1,Night,22,72,1
2001,1,Night,22,73,29
2001,1,Night,22,74,2
2001,1,Night,22,75,6
2001,1,Night,24,-1,166
2001,1,Night,24,1,30
2001,1,Night,24,2,4
2001,1,Night,24,77,6
2001,1,Night,25,-1,237
2001,1,Night,25,19,14
2001,1,Night,25,20,5
2001,1,Night,25,21,6
2001,1,Night,25,22,7
2001,1,Night,25,23,11
2001,1,Night,25,25,9
2001,2,Afternoon,1,-1,158
2001,2,Afternoon,1,28,53
2001,2,Afternoon,1,32,284
2001,2,Afternoon,1,32.12,5
2001,2,Afternoon,1,33,5
2001,2,Afternoon,1,33.75,1
2001,2,Afternoon,1,35,1
2001,2,Afternoon,2,-1,652
2001,2,Afternoon,2,33,26
2001,2,Afternoon,2,33.977777777777774,1
2001,2,Afternoon,2,34,6
2001,2,Afternoon,2,35,110
2001,2,Afternoon,2,36.66666666666666,1
2001,2,Afternoon,2,36.75,1
2001,2,Afternoon,2,37,2
2001,2,Afternoon,2,38,90
2001,2,Afternoon,2,40,10
2001,2,Afternoon,2,68,2
2001,2,Afternoon,3,-1,513
2001,2,Afternoon,3,40,1
2001,2,Afternoon,3,41,1
2001,2,Afternoon,3,42,5
2001,2,Afternoon,3,43,17
2001,2,Afternoon,3,68,2
2001,2,Afternoon,3,69,10
2001,2,Afternoon,4,-1,475
2001,2,Afternoon,4,43,7
2001,2,Afternoon,4,43.5,2
2001,2,Afternoon,4,43.93103448275862,2
2001,2,Afternoon,4,46,6
2001,2,Afternoon,4,48,1
2001,2,Afternoon,4,51,1
2001,2,Afternoon,4,52,24
2001,2,Afternoon,5,-1,344
2001,2,Afternoon,5,49,11
2001,2,Afternoon,5,53,39
2001,2,Afternoon,5,54,1
2001,2,Afternoon,6,-1,436
2001,2,Afternoon,6,44,9
2001,2,Afternoon,6,49,6
2001,2,Afternoon,6,69,7
2001,2,Afternoon,6,69.875,1
2001,2,Afternoon,6,71,110
2001,2,Afternoon,7,-1,360
2001,2,Afternoon,7,67,82
2001,2,Afternoon,7,68,141
2001,2,Afternoon,7,68.14285714285714,1
2001,2,Afternoon,8,-1,595
2001,2,Afternoon,8,57,6
2001,2,Afternoon,8,58,1
2001,2,Afternoon,8,62,16
2001,2,Afternoon,8,63,10
2001,2,Afternoon,8,64,1
2001,2,Afternoon,8,65,22
2001,2,Afternoon,8,66,38
2001,2,Afternoon,8,66.875,2
2001,2,Afternoon,8,70,3
2001,2,Afternoon,9,-1,360
2001,2,Afternoon,9,34,2
2001,2,Afternoon,9,37,7
2001,2,Afternoon,9,58,11
2001,2,Afternoon,9,59,6
2001,2,Afternoon,9,60,27
2001,2,Afternoon,9,60.5,1
2001,2,Afternoon,9,61,76
2001,2,Afternoon,9,63,3
2001,2,Afternoon,10,-1,409
2001,2,Afternoon,10,29,28
2001,2,Afternoon,10,30,21
2001,2,Afternoon,10,31,16
2001,2,Afternoon,11,-1,377
2001,2,Afternoon,11,23,44
2001,2,Afternoon,11,25,13
2001,2,Afternoon,11,26,75
2001,2,Afternoon,11,27,81
2001,2,Afternoon,11,28,12
2001,2,Afternoon,11,28.714285714285715,1
