Year,Month,TimeOfDay,District,Community_Area,CrimeCount,Arrests
2001,1,Afternoon,25,20,7,1
2001,1,Afternoon,25,21,11,2
2001,1,Afternoon,25,22,5,2
2001,1,Afternoon,25,23,26,9
2001,1,Afternoon,25,25,18,10
2001,1,Evening,1,-1,67,23
2001,1,Evening,1,28,37,19
2001,1,Evening,1,32,137,67
2001,1,Evening,1,33,6,3
2001,1,Evening,2,-1,724,301
2001,1,Evening,2,33,60,40
2001,1,Evening,2,33.333333333333336,1,1
2001,1,Evening,2,33.977777777777774,1,0
2001,1,Evening,2,34,5,3
2001,1,Evening,2,35,185,153
2001,1,Evening,2,36,1,1
2001,1,Evening,2,36.66666666666666,1,1
2001,1,Evening,2,37,1,0
2001,1,Evening,2,37.59090909090909,4,1
2001,1,Evening,2,38,89,39
2001,1,Evening,2,40,9,3
2001,1,Evening,2,41,1,0
2001,1,Evening,2,68,3,1
2001,1,Evening,3,-1,594,200
2001,1,Evening,3,40,1,0
2001,1,Evening,3,42,10,3
2001,1,Evening,3,43,16,1
2001,1,Evening,3,69,6,2
2001,1,Evening,4,-1,615,190
2001,1,Evening,4,43,7,1
2001,1,Evening,4,43.5,7,2
2001,1,Evening,4,43.93103448275862,3,0
2001,1,Evening,4,46,3,0
2001,1,Evening,4,51,1,1
2001,1,Evening,4,52,38,8
2001,1,Evening,4,55,3,1
2001,1,Evening,5,-1,412,132
2001,1,Evening,5,49,16,7
2001,1,Evening,5,53,38,13
2001,1,Evening,5,54,3,0
2001,1,Evening,6,-1,505,173
2001,1,Evening,6,44,15,2
2001,1,Evening,6,49,3,1
2001,1,Evening,6,69,1,1
2001,1,Evening,6,71,122,40
2001,1,Evening,7,-1,371,107
2001,1,Evening,7,67,105,35
2001,1,Evening,7,68,128,54
2001,1,Evening,8,-1,677,177
2001,1,Evening,8,57,8,2
2001,1,Evening,8,62,6,0
2001,1,Evening,8,63,12,2
2001,1,Evening,8,65,15,4
2001,1,Evening,8,66,34,11
2001,1,Evening,8,70,2,0
2001,1,Evening,9,-1,461,194
2001,1,Evening,9,34,4,0
2001,1,Evening,9,36.5,1,0
2001,1,Evening,9,37,8,4
2001,1,Evening,9,58,21,4
2001,1,Evening,9,58.11111111111112,1,1
2001,1,Evening,9,59,14,3
2001,1,Evening,9,60,39,8
2001,1,Evening,9,60.333333333333336,1,0
